Yr,Lvl,Side,2K PR,Wt,Ht,Split 8K,Time 8K,Split 6K,Time 6K,Split 4K,Time 4K,Ave
19,V,S,06:19.6,186,"6'3""",1:47.0,28:32.7,1:46.6,21:19.2,1:43.5,13:48.5,1:46.1
21,V,P,06:04.5,215,6'4'',1:47.8,28:45.4,1:46.7,21:21.0,1:43.9,13:51.9,1:46.6
20,V,S,06:18.0,190,6'4'',1:48.9,29:02.6,1:48.1,21:38.3,1:44.1,13:52.9,1:47.6
21,V,P/S,06:24.1,190,6'3'',1:50.4,29:26.5,1:48.7,21:45.5,1:45.1,14:01.0,1:48.7
20,V,S,06:33.0,170,"6'1""",1:50.7,29:31.4,1:49.1,21:49.8,1:45.8,14:06.8,1:49.1
22,Frosh,S,06:25.6,190,6'6'',1:51.5,29:44.6,1:48.7,21:44.5,1:46.0,14:08.3,1:49.4
21,V,S,06:22.1,190,6'2'',1:50.8,29:33.5,1:49.8,21:58.6,1:46.5,14:12.5,1:49.6
21,V,P/S,06:22.9,191,6'3'',1:51.0,29:36.6,1:49.2,21:51.2,1:47.2,14:17.6,1:49.6
20,V,P/S,06:20.7,190,"6'2""",1:51.3,29:40.9,1:49.8,21:58.3,1:45.9,14:07.2,1:49.6
20,V,P,06:28.6,185,"6'2""",1:49.4,29:10.4,1:51.0,22:12.0,1:48.2,14:25.6,1:49.7
19,V,P,06:18.7,210,"6'3""",1:51.3,29:41.6,1:50.2,22:03.1,1:46.5,14:12.0,1:49.9
20,V,P,06:26.0,190,6'2'',1:50.6,29:30.2,1:49.8,21:58.7,1:48.5,14:28.6,1:49.9
22,Frosh,S,06:32.0,186,6'0'',1:51.8,29:48.8,1:49.8,21:58.3,1:46.9,14:15.4,1:50.1
22,Frosh,P,06:38.0,185,6'1'',1:51.5,29:44.3,1:51.5,22:18.2,1:48.3,14:26.7,1:50.8
20,V,P/S,06:25.3,205,"6'4""",1:52.3,29:57.0,1:50.7,22:08.4,1:48.0,14:24.6,1:50.8
19,V,P/S,06:25.8,166,"6'1""",1:53.1,30:10.3,1:51.0,22:12.3,1:46.3,14:10.4,1:50.9
20,V,P/S,06:19.5,209,6'6'',1.51.6,29:46.7,1:51.9,22:23.3,1:48.8,14:31.0,1:51.1
22,Frosh,P,06:18.9,195,6'0'',1:52.7,30:03.4,1:51.2,22:14.8,1:47.9,14:23.7,1:51.2
21,V,P,06:35.1,210,"6’7""",1:52.0,29:52.2,1:51.8,22:21.6,1:48.7,14:29.7,1:51.2
22,Frosh,P/S,06:26.0,175,6'1'',1:51.5,29:44.5,1:52.1,22:26.2,1:49.2,14:33.8,1:51.2
19,V,P,06:19.6,195,"6'5.5""",1:52.4,29:58.8,1:51.3,22:15.8,1:48.9,14:31.7,1:51.3
19,V,P/S,06:28.9,180,"6'3""",1:52.8,30:05.2,1:51.9,22:23.1,1:48.0,14:24.4,1:51.5
20,V,S,06:25.9,195,"6'4""",1:52.4,29:59.0,1:51.4,22:17.1,1:50.3,14:42.9,1:51.6
21,V,S,06:38.0,175,6'3'',1:53.3,30:13.0,1:52.4,22:29.1,1:48.4,14:27.7,1:51.9
21,V,S,06:29.6,175,6'4'',1:53.6,30:17.6,1:53.3,22:40.6,1:46.5,14:12.3,1:52.0
22,Frosh,P/S,06:29.9,170,6'0'',1:53.1,30:10.1,1:53.3,22:40.3,1:49.7,14:37.6,1:52.4
22,Frosh,P/S,06:33.0,165,6'1'',1:54.3,30:29.4,1:52.6,22:31.2,1:48.6,14:29.2,1:52.5
20,V,P/S,06:26.3,185,6'3'',1:53.4,30:14.8,1:52.7,22:33.3,1:50.3,14:42.8,1:52.5
20,V,P/S,06:30.6,170,"6'1""",1:53.8,30:21.4,1:53.8,22:46.2,1:48.8,14:30.7,1:52.7
20,V,S,06:33.2,174,"6'2""",1:52.9,30:06.7,1:52.9,22:34.9,1:52.2,14:57.9,1:52.8
21,V,P/S,06:29.2,172,6'1'',1:54.9,30:39.4,1:53.9,22:47.0,1:51.9,14:55.2,1:53.9
20,V,P,06:45.6,165,"6'1""",1:53.7,30:18.9,1:55.9,23:11.8,1:51.9,14:55.8,1:54.1
19,V,P,06:56.5,162,"6'2""",1:53.4,30:15.6,1:56.1,23:13.8,1:53.7,15:09.9,1:54.4
22,Frosh,P,06:25.1,179,"6'2""",1:56.8,31:09.8,1:54.8,22:58.0,1:49.4,14:35.7,1:54.5
19,V,S,06:40.2,175,"6'1""",1:55.4,30:46.4,1:55.9,23:11.2,1:51.8,14:54.9,1:54.8
22,Frosh,S,06:42.8,160,6'0'',1:55.6,30:49.8,1:56.3,23:16.4,1:53.5,15:08.1,1:55.4
